	Afghanistan	Albania	Algeria	Andorra	Angola	Antigua_and_Barbuda	Argentina	Armenia	Aruba	Australia	Austria	Azerbaijan	Bahamas	Bahrain	Bangladesh	Barbados	Belarus	Belgium	Belize	Benin	Bermuda	Bhutan	Bolivia	Bosnia_and_Herzegovina	Botswana	Brazil	British_Virgin_Islands	Brunei_Darussalam	Bulgaria	Burkina_Faso	Burundi	Cambodia	Cameroon	Canada	Cape_Verde	Cayman_Islands	Central_African_Republic	Chad	Chile	China	Colombia	Congo	Costa_Rica	Cote_dIvoire	Croatia	Cuba	CuraĂ§ao	Cyprus	Czechia	Democratic_Republic_of_the_Congo	Denmark	Djibouti	Dominica	Dominican_Republic	Ecuador	Egypt	El_Salvador	Equatorial_Guinea	Estonia	Eswatini	Ethiopia	Faroe_Islands	Fiji	Finland	France	French_Polynesia	Gabon	Gambia	Georgia	Germany	Ghana	Gibraltar	Greece	Greenland	Grenada	Guam	Guatemala	Guernsey	Guinea	Guinea_Bissau	Guyana	Haiti	Holy_See	Honduras	Hungary	Iceland	India	Indonesia	Iran	Iraq	Ireland	Isle_of_Man	Israel	Italy	Jamaica	Japan	Jersey	Jordan	Kazakhstan	Kenya	Kosovo	Kuwait	Kyrgyzstan	Laos	Latvia	Lebanon	Liberia	Libya	Liechtenstein	Lithuania	Luxembourg	Madagascar	Malaysia	Maldives	Mali	Malta	Mauritania	Mauritius	Mexico	Moldova	Monaco	Mongolia	Montenegro	Morocco	Mozambique	Myanmar	Namibia	Nepal	Netherlands	New_Caledonia	New_Zealand	Nicaragua	Niger	Nigeria	North_Macedonia	Northern_Mariana_Islands	Norway	Oman	Pakistan	Panama	Papua_New_Guinea	Paraguay	Peru	Philippines	Poland	Portugal	Puerto_Rico	Qatar	Romania	Russia	Rwanda	Saint_Kitts_and_Nevis	Saint_Lucia	Saint_Vincent_and_the_Grenadines	San_Marino	Saudi_Arabia	Senegal	Serbia	Seychelles	Sierra_Leone	Singapore	Sint_Maarten	Slovakia	Slovenia	Somalia	South_Africa	South_Korea	Spain	Sri_Lanka	Sudan	Suriname	Sweden	Switzerland	Syria	Taiwan	Thailand	Timor_Leste	Togo	Trinidad_and_Tobago	Tunisia	Turkey	Turks_and_Caicos_islands	Uganda	Ukraine	United_Arab_Emirates	United_Kingdom	United_Republic_of_Tanzania	United_States_of_America	United_States_Virgin_Islands	Uruguay	Uzbekistan	Venezuela	Vietnam	Zambia	Zimbabwe
01.04.2020	0.446568052	8.477603776	1.382954597	488.273641	0.022720072	7.270008101	2.171054752	18.02304782	51.96277576	18.83374881	115.0893796	2.997284139	3.889638004	36.12755896	0.031607122	11.86152714	1.602465097	111.8448953	0.783144639	0.069655782	50.02501251	0.530226911	1.01293545	12.42505481	0.133089277	2.729277798	10.06643849	30.07259384	5.680349238	1.24547282	0.017896486	0.670777569	0.765379862	23.03363061	1.103413778	21.8156886	0.12857941	0.045226209	14.6189151	5.908898351	1.824821745	0.41949804	6.940775979	0.670144263	21.2011542	1.640481003	6.88149441	22.03041374	31.13208124	0.116572172	49.33206795	3.232803571	15.35776614	10.43552067	13.47431454	0.666506847	0.498384611	1.145935672	56.40162194	0.658376006	0.022888625	348.4751634	0.565941846	25.08132402	77.81780065	13.32473828	0.754975168	0.175430748	2.948271241	81.23440016	0.510630727	204.638472	12.24870121	17.84917448	8.075080302	41.62443897	0.220317864	95.19880684	0.128883439	0.426823966	1.540428547	0.134853571	600	1.793998491	5.374260975	321.0077664	0.103281244	0.57086617	54.53038302	1.805711669	66.65284848	61.84806784	55.33668025	175.0616481	1.294782877	1.543518448	75.84269663	2.75210624	1.860312525	0.114801604	6.069473798	6.985216719	1.694163843	0.127451548	20.65877619	6.760184993	0.062253877	0.14973272	179.3721973	19.10714087	358.3840139	0.175155569	8.328949745	3.490428469	0.094351046	34.53767088	0.11355071	11.30164079	0.96282781	9.955207208	134.4294504	0.378524059	17.51440118	1.712502808	0.027122357	0.027928595	0.449299603	0.017801278	73.09493108	5.632612828	13.2432709	0.077333384	0.089114852	0.066879476	15.7948456	10.54815232	83.67931572	3.975580823	0.960817902	28.27474046	0.011619373	0.991939271	3.329242793	1.954020107	6.085014098	72.39031598	7.480079984	28.07658833	11.52822932	1.617546748	0.609659989	15.25523922	7.147216159	0.907358679	680.7754921	4.63798949	1.103797315	12.89013423	10.3346355	0.013071632	15.58876587	14.46271031	6.664205378	39.37365893	0.019989134	2.341656025	18.9521671	202.0749662	0.562990309	0.016745797	1.736138238	43.55223199	189.1377757	0.059149607	1.354053321	2.377985164	0.078866095	0.43097471	6.259632279	3.130078812	16.43712994	15.89420815	0.102988687	1.230320585	6.894432839	37.82581089	0.033736785	57.95747996	28.0434112	9.799092511	0.524951905	0.467610281	0.239689191	0.201707924	0.05540543
02.04.2020	0.516512446	9.035799909	2.00575778	506.4540425	0.025965796	7.270008101	2.546382023	19.34428629	51.96277576	19.91007735	121.0687827	3.610822167	5.445493206	36.25499303	0.033466364	15.69908003	1.602465097	122.254569	0.783144639	0.113190646	50.02501251	0.662783638	1.083400525	13.95938361	0.17745237	3.263484875	10.06643849	30.53883561	6.007787915	1.321416285	0.017896486	0.676931492	0.924007813	25.89124716	1.103413778	34.28179637	0.171439213	0.045226209	16.18332055	5.916078493	2.145071919	0.41949804	7.500838594	0.75790125	23.54868685	1.869795552	6.88149441	26.90737556	33.77661414	0.146309972	53.59256473	3.545655529	16.7539267	12.08224395	16.1434229	0.72137174	0.638555283	1.145935672	58.9756557	0.658376006	0.026550805	356.7230963	0.792318585	26.20490934	85.07440611	13.32473828	0.849347064	0.175430748	3.08228357	88.65771411	0.655085472	204.638472	12.81732432	17.84917448	8.972311447	46.45046089	0.266700572	123.7584489	0.241656449	0.480176961	2.439011866	0.143843809	600	2.284219009	5.988462229	345.0479956	0.145273904	0.626533094	58.18196026	1.805711669	71.02082495	77.3100848	62.93478016	182.9747682	1.499222278	1.721343153	75.84269663	2.792282974	1.904084584	0.157608982	6.069473798	7.661985121	1.773330378	0.141612831	23.15028689	6.993798297	0.124507753	0.14973272	189.923503	20.827859	381.5851828	0.205617407	9.223376184	3.684341162	0.146768293	38.88073129	0.11355071	12.17099778	1.091997302	11.92932762	142.1849956	0.441611402	19.76395729	1.815197466	0.033902946	0.029790501	0.53099044	0.017801278	79.00868533	5.632612828	14.79889469	0.077333384	0.329724954	0.077090083	16.99506183	10.54815232	87.78142744	4.348291525	1.079565382	31.53076476	0.011619373	0.991939271	4.135763583	2.166862028	6.724848986	80.24889119	8.951058056	30.01786332	12.6322691	1.92209128	0.666561588	15.25523922	7.147216159	1.814717358	698.5348527	5.103865594	1.198408513	15.18171365	10.3346355	0.013071632	17.7346597	38.5672275	7.343477001	40.67966481	0.033315223	2.388385303	19.32013274	218.5954727	0.659898477	0.016745797	1.736138238	48.58013341	200.4334388	0.059149607	1.425540608	2.550824788	0.078866095	0.456326164	6.403531872	3.406770862	19.04646813	15.89420815	0.102988687	1.779370755	6.894432839	44.32914315	0.035512405	66.24161743	28.0434112	9.799092511	0.567433562	0.49532052	0.245969257	0.207471008	0.05540543
03.04.2020	0.632189712	9.663770559	2.00575778	555.8008467	0.025965796	9.347153273	2.546382023	22.46105396	56.68666446	20.90238024	125.7935284	4.023200186	6.223420807	40.97005363	0.034705859	15.69908003	2.677803518	134.3714641	0.783144639	0.113190646	54.71485743	0.662783638	1.162673734	16.00515534	0.17745237	3.776209093	10.06643849	31.00507737	6.506064164	1.458114521	0.02684473	0.701547182	1.074704366	30.40568764	1.103413778	43.63137719	0.171439213	0.045226209	18.17486743	5.921104593	2.338430514	0.781791802	7.920885555	0.773857066	24.72245317	2.055011149	6.88149441	29.93445531	36.30821325	0.146309972	58.4050287	4.275643432	16.7539267	12.98558929	18.51401256	0.791476881	0.716427878	1.145935672	64.95649883	0.658376006	0.026550805	364.9710291	0.792318585	27.50971811	88.23321646	13.32473828	0.849347064	0.175430748	3.243098365	96.10273365	0.685320186	260.9881962	14.11303929	17.84917448	8.972311447	49.46672458	0.272498411	144.384857	0.418871178	0.480176961	2.439011866	0.161824285	600	2.31550968	6.377456357	373.047792	0.170114633	0.668750291	61.69661863	2.00865909	79.30349731	84.44640032	70.37528985	190.6992443	1.601441979	2.068298913	75.84269663	3.003210824	2.112001866	0.214036889	6.773966293	8.266242623	1.979163368	0.141612831	23.77316456	7.21281077	0.124507753	0.164705992	197.8369823	23.26554301	409.2291288	0.224656055	9.883094976	3.684341162	0.188702091	40.32841809	0.136260852	13.35648457	1.196600817	14.24186867	155.1109043	0.441611402	23.13829146	1.965076156	0.033902946	0.037238126	0.53099044	0.017801278	85.29386281	5.632612828	15.80186265	0.077333384	0.329724954	0.088832281	16.99506183	14.06420309	92.86202453	4.783120678	1.079565382	35.31349888	0.011619373	1.106946723	4.420234094	2.468778762	7.757010616	87.86431742	9.889980229	34.11611053	14.05981821	2.455736356	0.666561588	15.25523922	7.147216159	1.814717358	725.1738937	5.593480607	1.22994558	16.77149688	10.3346355	0.026143265	18.60365802	55.44038953	7.820803006	43.38841776	0.033315223	2.53030385	19.48668561	235.9356909	0.68297185	0.016745797	1.736138238	53.67677566	213.6312821	0.094639372	1.425540608	2.700619129	0.078866095	0.494353344	6.979130242	3.934215082	22.02995724	15.89420815	0.105329339	1.801780966	10.63237835	50.71215474	0.037288026	75.05025699	30.84775232	10.69782585	0.576536774	0.4987843	0.250155968	0.224760259	0.05540543
04.04.2020	0.632189712	10.60572653	2.334919919	570.0854479	0.025965796	15.57858879	2.843047889	24.93414134	58.57621994	22.19877595	130.2696033	4.455694206	6.223420807	40.97005363	0.037804597	15.69908003	3.700429271	146.8210485	1.044192852	0.139311564	54.71485743	0.662783638	1.224330674	17.62973878	0.17745237	4.323305885	10.06643849	31.00507737	6.904685163	1.458114521	0.02684473	0.701547182	2.018540673	33.78139897	1.103413778	45.18964066	0.171439213	0.045226209	19.95284359	5.925556282	2.55193063	0.781791802	8.32093028	0.869591961	26.3852888	2.372523601	6.88149441	33.29787726	39.43271475	0.159394603	64.80439835	4.275643432	19.54624782	14.0018528	19.71394065	0.791476881	0.872173069	1.222331383	72.75430696	0.658376006	0.032044075	369.0949956	1.358260431	29.26758547	96.04515152	14.0449944	0.990904909	0.175430748	3.966764942	103.4368135	0.688679599	281.7486209	15.03588664	17.84917448	10.76677374	52.48298827	0.289891927	180.877733	0.418871178	0.800294935	2.952488049	0.161824285	700	2.753579079	6.940474174	385.7749721	0.214547007	0.74197658	61.69661863	2.00865909	88.03945024	135.5899949	83.61286837	198.2863743	1.805881381	2.319624497	110.4868914	3.003210824	2.516893416	0.237386368	6.828158023	8.266242623	2.2799962	0.141612831	25.58989111	7.21281077	0.145259046	0.164705992	197.8369823	27.63903492	429.797541	0.247502434	10.57135929	3.684341162	0.204427266	41.7761049	0.136260852	14.70003628	1.337657072	16.6672166	165.4516312	0.441611402	27.95876885	1.965076156	0.033902946	0.037238126	0.571835859	0.021361534	91.24824147	6.336689432	16.86623682	0.077333384	0.436662777	0.097000767	20.64371917	14.06420309	97.9990727	4.783120678	1.079565382	40.0538872	0.011619373	1.380089421	4.986049066	2.829766162	8.907660188	96.15083485	11.83041939	34.11611053	16.3449238	2.871716499	0.723463187	17.16214412	7.147216159	6.351510752	742.9332544	5.593480607	1.305634538	21.13982015	10.3346355	0.026143265	19.7564109	55.44038953	8.261411626	45.17812953	0.033315223	2.604724552	19.66873177	251.9275583	0.696815874	0.016745797	1.736138238	59.68668907	225.7606167	0.094639372	1.49282276	2.84897314	0.078866095	0.507029071	7.194979631	3.934215082	25.41432233	15.89420815	0.112351295	2.211887828	10.63237835	57.40499205	0.037288026	84.96108448	37.39121493	11.19067961	0.688809725	0.4987843	0.250155968	0.224760259	0.062331109
05.04.2020	0.726345627	11.61745703	3.078494822	605.1476508	0.032457245	15.57858879	3.261077065	26.08599026	60.46577543	22.75494572	132.9936791	5.240218243	7.260657608	43.83732021	0.043382324	17.79229071	4.153758213	161.3630737	1.044192852	0.139311564	57.84142071	0.662783638	1.382877093	19.01364319	0.17745237	4.906684837	10.06643849	31.47131914	7.16094152	1.528995088	0.02684473	0.701547182	2.200962816	37.45933226	1.287316075	54.53922149	0.192869115	0.051687096	22.21669311	5.92900275	2.831897763	0.858064173	8.700972769	0.977293717	27.53460165	2.540099618	6.88149441	35.82044372	42.0866588	0.183184842	70.32407029	5.318483294	19.54624782	14.84873906	20.28171151	1.000776287	0.965620184	1.222331383	77.06959884	0.658376006	0.03479071	373.218962	1.358260431	34.1062513	102.415021	14.40512246	0.990904909	0.175430748	4.207987135	110.5948368	0.718914313	290.6459458	15.59518807	17.84917448	10.76677374	56.10250471	0.35366815	215.7839622	0.89412886	0.960353922	3.080857094	0.188794999	700	2.795299974	7.50349199	400.7647621	0.249442317	0.781578552	68.14525268	2.284459431	94.85926256	149.8626259	90.25417051	206.2375541	1.874027848	2.585176058	115.1685393	3.244271225	2.516893416	0.245169528	7.153308405	11.57757373	2.2799962	0.141612831	26.42039468	7.592432389	0.207512922	0.269518895	203.1126352	27.63903492	449.0495748	0.270348812	11.04711804	3.684341162	0.214910715	44.0510413	0.136260852	15.49036081	1.497732148	21.20769354	170.6219947	0.441611402	32.2971985	2.550713259	0.033902946	0.039100033	0.571835859	0.021361534	96.4945946	6.336689432	17.84873606	0.077333384	0.534689115	0.107211374	23.18817758	14.06420309	103.6818146	5.735603583	1.154489387	43.11838066	0.011619373	1.495096873	5.458082551	2.901026012	9.550128141	102.355997	14.14642742	47.63313641	18.55300336	3.274545857	0.829137586	19.06904903	7.697002018	6.351510752	766.612402	6.46588554	1.381323497	23.25953111	10.3346355	0.052286529	21.08651038	55.44038953	8.646944168	47.25806483	0.046641312	2.743181671	19.82560133	266.964879	0.733733272	0.023922568	1.736138238	63.27103286	237.197182	0.094639372	1.526463837	3.124076208	0.078866095	0.519704798	7.41082902	4.280080144	29.0744415	15.89420815	0.112351295	2.456159128	15.62668889	63.02246337	0.037288026	95.43645472	37.39121493	11.59655918	0.807151484	0.4987843	0.251202646	0.224760259	0.062331109
06.04.2020	0.804360527	12.59430026	3.12585628	650.5986547	0.045440143	15.57858879	3.49256634	27.84764156	60.46577543	22.98301534	135.4464777	5.873872272	7.519966808	44.60192464	0.054537779	19.53663293	5.945988914	172.394351	1.305241065	0.191553401	57.84142071	0.662783638	1.611888586	19.94627442	0.266178554	5.313426954	10.06643849	31.47131914	7.559562519	1.746699687	0.02684473	0.701547182	2.577704199	41.81456654	1.287316075	60.77227538	0.192869115	0.058147983	23.87186612	5.933813446	2.991015774	0.858064173	9.081015258	1.041116981	28.9039957	2.822332909	6.88149441	37.50215469	43.16894095	0.183184842	75.36077093	6.152755183	19.54624782	16.42018356	21.34116022	1.087137693	1.074641817	1.222331383	83.05044198	0.658376006	0.039368435	373.218962	1.584637169	34.92175678	105.2110757	14.76525052	0.990904909	0.175430748	4.663629054	115.0288078	0.718914313	305.4748206	16.17313287	19.63409192	10.76677374	66.35780126	0.405848697	244.3436042	0.974681009	0.960353922	3.722702322	0.188794999	700	3.108206688	7.616095553	420.2797717	0.30067632	0.849200788	71.18069502	2.500416302	105.3053195	151.0520118	94.89182557	213.3795505	1.976247549	2.887873224	145.1310861	3.465243259	2.905370443	0.276302166	7.586842248	13.43868684	3.4199943	0.155774115	27.66615002	7.69463821	0.269766799	0.269518895	205.7504616	29.07296669	461.3906221	0.274156542	11.6148568	3.684341162	0.235877614	48.39410171	0.136260852	17.94036685	1.698222219	24.3662862	188.7182669	0.441611402	34.38607203	2.833817451	0.033902946	0.039100033	0.653526696	0.0320423	103.5980639	6.336689432	18.64701668	0.077333384	0.819856643	0.118443042	23.18817758	14.06420309	106.128028	6.170432736	1.544188458	47.59541408	0.011619373	1.624480256	7.130519072	3.043545713	10.8008342	109.6893704	14.86626775	57.66305721	19.84190561	3.72997836	0.845395185	19.06904903	7.697002018	6.351510752	787.3316561	7.077162466	1.400245737	27.32708458	10.3346355	0.078429794	23.21466954	60.26129297	8.903965863	48.2254766	0.046641312	2.86433165	19.91662441	279.8555398	0.766035994	0.028707081	1.736138238	67.07141928	246.8372437	0.112384254	1.526463837	3.197533049	0.078866095	0.557731978	7.482778816	4.781584484	32.88276331	15.89420815	0.121713903	2.803517399	18.67934439	71.90062487	0.039063646	103.1994523	39.26077568	11.77050757	1.037766193	0.512639419	0.252249323	0.224760259	0.062331109
07.04.2020	0.906586949	13.15249639	3.369767793	683.0636574	0.051931592	15.57858879	3.658879023	28.22029856	67.07921961	23.38313747	138.9956886	6.447178298	8.55720361	48.17007861	0.076228941	20.93210671	7.379773475	182.2261958	1.827337491	0.226381292	60.96798399	0.662783638	1.708778063	20.90899053	0.266178554	5.755496438	10.06643849	31.47131914	7.815818876	1.842894742	0.02684473	0.707701105	2.609429789	44.93662729	1.287316075	60.77227538	0.192869115	0.058147983	25.70857422	5.937834325	3.180346066	0.858064173	9.341044329	1.288432125	29.8821343	3.086926619	8.132675212	39.09978012	45.38056099	0.191511426	80.74245107	9.385558754	20.94240838	17.20120088	21.93234431	1.090185743	1.214812489	1.222331383	83.8832176	0.731528895	0.04028398	377.3429284	1.584637169	39.43422042	111.0509935	14.76525052	0.990904909	0.175430748	5.038863575	119.6520998	0.964151439	323.2694703	16.35956668	19.63409192	10.76677374	67.56430674	0.429040051	261.7967188	1.031067514	1.760648858	3.979440414	0.215765713	700	3.181218254	8.363373746	441.7745649	0.326847802	0.930646354	73.96063698	2.682548603	110.5180461	165.3246429	100.2273802	219.3350752	2.010320782	3.016697345	158.2397004	3.505419992	3.665909975	0.307434805	7.8578009	16.07324954	3.609993983	0.169935398	28.13330828	7.899049851	0.290518091	0.269518895	205.7504616	30.22011211	467.8079667	0.293195191	12.03035277	3.684341162	0.246361064	49.84178851	0.136260852	19.28391856	1.932787677	27.21465993	199.0589938	0.473155074	37.43904105	3.108595049	0.033902946	0.040961939	0.653526696	0.0320423	109.1229844	6.336689432	19.30201617	0.092800061	1.127302884	0.121506224	27.36493007	14.06420309	108.2919861	7.681981695	1.820794691	50.27684586	0.011619373	1.624480256	8.005812952	3.431724372	11.61971753	114.085504	16.05556917	65.85955163	20.83297388	4.390286275	0.853523985	20.97595393	7.697002018	6.351510752	819.8904839	7.486658659	1.42547539	31.50921702	10.3346355	0.078429794	24.38515708	60.26129297	9.803541796	49.38637072	0.046641312	2.917983783	20.00764749	289.000782	0.82141209	0.028707081	1.736138238	70.76378438	253.3187468	0.112384254	1.568515182	3.252265596	0.078866095	0.735192153	7.554728613	4.963163642	36.7068772	25.43073304	0.121713903	2.955906834	21.5554858	77.61886475	0.042614886	112.5405409	39.26077568	12.03143015	1.204658417	0.550740998	0.256436034	0.224760259	0.062331109
08.04.2020	0.987292018	13.36181994	3.476331075	707.7370594	0.055177317	15.57858879	3.854408799	28.89785675	69.91355284	23.83127426	142.8726929	7.211586334	9.33513121	51.67451554	0.101638588	21.97871205	9.077121374	194.308071	1.827337491	0.226381292	60.96798399	0.662783638	1.849708213	23.49629008	0.266178554	6.548452608	10.06643849	31.47131914	8.214439875	1.944152695	0.02684473	0.72000895	2.716503656	48.255672	1.287316075	70.1218562	0.192869115	0.058147983	27.31569382	5.944009248	3.585190625	0.858064173	9.661080109	1.392144928	31.3493422	3.492636974	8.132675212	41.53826103	47.21573506	0.214112153	87.46955125	12.61836232	20.94240838	18.40566134	23.38396464	1.34317386	1.214812489	1.222331383	86.98719948	0.731528895	0.047608341	379.4049116	1.697825538	41.82636982	116.6893804	16.92601889	1.415578441	0.175430748	5.253283302	124.4791833	0.964151439	335.1325701	17.07733685	19.63409192	10.76677374	72.99358139	0.463827082	263.3833656	1.159950953	1.760648858	4.236178505	0.224755951	700	3.254229821	9.161835377	448.5623943	0.383996264	1.022926423	76.51441831	2.682548603	117.6263097	178.407888	104.099597	224.3639275	2.146613717	3.087036895	159.17603	3.505419992	3.851941228	0.334675864	9.971278383	17.95853295	4.274992875	0.169935398	28.44474712	8.001255672	0.290518091	0.284492167	205.7504616	31.546499	488.7054735	0.323657029	12.56954602	3.684341162	0.293536586	60.59603334	0.136260852	21.18069743	2.206975679	29.78101646	204.2293573	0.473155074	38.72450168	3.286229052	0.033902946	0.040961939	0.653526696	0.0320423	113.6322946	6.336689432	19.83420325	0.092800061	1.238696449	0.129674709	28.75718089	14.06420309	110.3242249	8.6758769	1.918808484	53.84410778	0.023238747	1.653232119	9.234350433	3.529237851	12.76510097	121.0103871	17.93341352	73.94819744	22.68159862	5.189023523	0.853523985	20.97595393	7.697002018	7.258869431	825.8102708	8.29378159	1.494856935	35.04684275	10.3346355	0.078429794	26.26503101	96.41806875	10.66640034	51.03097072	0.053304357	3.027018765	20.11029053	300.7250125	0.853714813	0.033491595	1.736138238	75.5461828	260.2464404	0.112384254	1.581130586	3.412142249	0.078866095	0.82392224	7.698628205	5.153389426	41.43478421	25.43073304	0.121713903	3.276372852	24.49392631	83.08443123	0.042614886	121.8975236	42.0651168	12.29235274	1.529339653	0.574987457	0.2627161	0.224760259	0.069256787
09.04.2020	1.137941482	13.95490333	3.722610661	732.4104615	0.061668766	15.57858879	4.034206294	29.84643821	72.74788606	24.21539151	146.591452	8.267676383	10.37236801	52.43911997	0.135104953	21.97871205	11.23834075	204.8928443	2.088385704	0.226381292	60.96798399	0.662783638	2.325347468	24.54926083	0.310541647	7.603499649	10.06643849	31.47131914	8.442223303	2.096039624	0.02684473	0.726162873	2.894960101	52.00916078	1.287316075	70.1218562	0.214299016	0.06460887	29.61157895	5.950184171	4.137068283	1.144085564	10.0411226	1.531758316	32.84100357	4.030644185	8.758265613	44.22899858	49.99202405	0.217680689	93.17896191	14.07833813	20.94240838	19.86418767	26.04721969	1.584985795	1.604175466	1.375122806	89.71264698	0.877834674	0.050354976	379.4049116	1.697825538	45.07026939	122.4830208	18.36653114	1.557136285	0.175430748	5.655320289	130.477163	1.051496168	355.8929948	17.56206475	19.63409192	10.76677374	75.40659235	0.504411952	287.1830673	1.321055252	1.760648858	4.749654687	0.242736427	800	3.577566758	10.03195382	457.0471811	0.423918863	1.104371989	78.95573057	3.127471796	128.237196	187.9229754	105.8556023	230.7116332	2.146613717	3.364443436	159.17603	3.595817642	4.152874136	0.348296393	9.971278383	20.66560656	4.433325944	0.212419247	29.95003483	8.395478122	0.643290059	0.314438711	208.3882881	32.69364442	499.2365005	0.354118867	13.06433511	3.684341162	0.309261761	61.83690774	0.136260852	21.5758597	2.520786224	33.10881944	209.3997208	0.504698745	40.00996232	3.538802399	0.057635008	0.040961939	0.653526696	0.0320423	119.2558745	6.336689432	20.30498414	0.092800061	1.523863977	0.140906377	29.62133658	19.33827924	113.0903277	8.6758769	2.036613524	60.52374587	0.023238747	1.782615502	13.57330724	3.62862659	13.70510531	127.8088328	19.40439159	79.44847658	24.44806227	6.00229585	0.894167984	20.97595393	7.697002018	7.258869431	911.6471807	8.700310419	1.539008828	38.18344208	10.3346355	0.091501426	28.78335269	96.41806875	12.52062829	52.7723119	0.053304357	3.193167307	20.18582032	313.9516908	0.872173512	0.033491595	1.736138238	82.67558988	266.6574924	0.112384254	1.593745989	3.48992008	0.078866095	0.887300874	7.698628205	5.386848343	46.43601575	25.43073304	0.124054555	3.738023199	27.6088809	91.34294127	0.044390507	132.0828283	42.0651168	13.22007747	1.684094261	0.578451237	0.2627161	0.224760259	0.076182466
10.04.2020	1.30204179	14.26888866	3.945209518	757.0838636	0.061668766	19.73287913	4.256705694	31.20155459	77.47177476	24.61551364	149.7450502	9.313708431	10.63167721	56.51701022	0.204516671	23.02531738	15.66620483	218.7257159	2.349433917	0.261209183	75.03751876	0.662783638	2.360580005	26.32426866	0.576720201	8.524875572	10.06643849	31.47131914	8.883553695	2.242863656	0.02684473	0.732316796	2.894960101	55.98661761	1.287316075	70.1218562	0.235728918	0.071069757	31.88610701	5.954133249	4.477459977	1.144085564	10.78120534	1.771095553	34.40602533	4.542192025	8.758265613	47.42424943	52.41068937	0.255745072	97.19797304	14.59975806	22.33856894	22.10373133	29.0616732	1.726212094	1.822218734	1.375122806	91.37819824	0.877834674	0.051270521	379.4049116	1.697825538	47.20870597	128.8812539	18.36653114	2.076181713	0.175430748	5.84293755	136.8959902	1.269857992	364.7903197	18.22390477	19.63409192	10.76677374	77.21635056	0.730527655	303.0495351	1.562711701	1.867354849	4.749654687	0.269707141	800	3.984345486	12.18165821	466.0976203	0.474043905	1.230276373	80.95327902	3.205528496	152.3228775	225.9833248	112.2042369	237.6682951	2.146613717	3.688479567	171.3483146	3.736436209	4.388148956	0.358025342	12.30152279	21.99497306	4.718325469	0.22658053	30.5729125	8.497683943	0.643290059	0.359358527	208.3882881	34.23512108	512.5648316	0.354118867	13.41005313	3.684341162	0.309261761	69.69577896	0.158970994	24.81619027	2.726823451	36.35201725	217.155266	0.504698745	40.49201006	3.813579997	0.057635008	0.050271471	0.653526696	0.0320423	126.2955054	6.336689432	20.77576502	0.092800061	1.826854476	0.147032741	31.82973444	19.33827924	115.9128817	9.462710605	2.168083948	65.88660943	0.023238747	1.85449516	16.43051655	3.821778289	14.67933951	135.7354897	21.37612815	85.41609971	26.71262759	7.01213783	0.918554384	20.97595393	7.697002018	10.88830415	985.6445168	9.753724538	1.576853307	41.06223872	10.3346355	0.091501426	33.85546536	120.5225859	12.86944344	54.36854132	0.079956536	3.347200852	20.23811018	326.2709078	0.876788186	0.033491595	1.736138238	89.76571649	275.8748473	0.112384254	1.597951124	3.56193659	0.15773219	0.925328054	7.842527798	5.559780874	51.36314597	25.43073304	0.124054555	4.240011926	31.04571414	97.8763537	0.044390507	142.4448009	46.73901867	13.71293124	1.766023171	0.592306356	0.266902811	0.224760259	0.076182466
